Date,"Suchmaschinenoptimierung","Suchmaschinenmarketing"
2018-01-11,433,113
2018-01-12,486,108
2018-01-13,234,46
2018-01-14,250,65
2018-01-15,449,128
2018-01-16,436,149
2018-01-17,445,134
2018-01-18,374,109
2018-01-19,363,106
2018-01-20,206,42
2018-01-21,260,63
2018-01-22,453,138
2018-01-23,477,123
2018-01-24,431,117
2018-01-25,398,130
2018-01-26,340,100
2018-01-27,158,44
2018-01-28,252,51
2018-01-29,438,124
2018-01-30,389,107
2018-01-31,370,95
2018-02-01,341,106
2018-02-02,314,88
2018-02-03,176,45
2018-02-04,222,50
2018-02-05,411,128
2018-02-06,397,135
2018-02-07,372,105
2018-02-08,373,96
2018-02-09,455,84
2018-02-10,186,44
2018-02-11,206,50
2018-02-12,356,91
2018-02-13,371,118
2018-02-14,330,102
2018-02-15,358,98
2018-02-16,304,81
2018-02-17,180,34
2018-02-18,211,56
2018-02-19,400,113
2018-02-20,427,111
2018-02-21,369,99
2018-02-22,361,81
2018-02-23,341,81
2018-02-24,190,44
2018-02-25,262,43
2018-02-26,404,98
2018-02-27,385,125
2018-02-28,369,94
2018-03-01,389,91
2018-03-02,340,90
2018-03-03,191,27
2018-03-04,250,66
2018-03-05,427,124
2018-03-06,457,147
2018-03-07,467,117
2018-03-08,391,124
2018-03-09,342,66
2018-03-10,220,40
2018-03-11,212,50
2018-03-12,402,99
2018-03-13,427,117
2018-03-14,397,120
2018-03-15,331,113
2018-03-16,301,97
2018-03-17,203,41
2018-03-18,185,43
2018-03-19,431,85
2018-03-20,440,121
2018-03-21,371,147
2018-03-22,393,97
2018-03-23,335,66
2018-03-24,182,44
2018-03-25,226,60
2018-03-26,343,115
2018-03-27,364,104
2018-03-28,336,114
2018-03-29,273,50
2018-03-30,203,33
2018-03-31,208,25
2018-04-01,155,37
2018-04-02,187,45
2018-04-03,405,113
2018-04-04,340,109
2018-04-05,471,113
2018-04-06,331,77
2018-04-07,168,33
2018-04-08,184,43
2018-04-09,432,144
2018-04-10,479,115
2018-04-11,408,136
2018-04-12,381,93
2018-04-13,308,85
2018-04-14,191,42
2018-04-15,200,50
2018-04-16,348,122
2018-04-17,342,124
2018-04-18,316,108
2018-04-19,316,107
2018-04-20,252,78
2018-04-21,131,21
2018-04-22,189,56
2018-04-23,380,110
2018-04-24,393,128
2018-04-25,330,127
2018-04-26,328,127
2018-04-27,287,88
2018-04-28,161,26
2018-04-29,176,53
2018-04-30,285,74
2018-05-01,242,57
2018-05-02,338,86
2018-05-03,323,85
2018-05-04,288,87
2018-05-05,178,27
2018-05-06,196,54
2018-05-07,347,87
2018-05-08,333,98
2018-05-09,292,104
2018-05-10,169,37
2018-05-11,243,53
2018-05-12,126,26
2018-05-13,183,42
2018-05-14,360,101
2018-05-15,378,122
2018-05-16,387,127
2018-05-17,298,80
2018-05-18,255,73
2018-05-19,149,37
2018-05-20,161,29
2018-05-21,176,55
2018-05-22,338,114
2018-05-23,368,119
2018-05-24,301,89
2018-05-25,243,73
2018-05-26,151,34
2018-05-27,247,49
2018-05-28,332,115
2018-05-29,342,97
2018-05-30,291,98
2018-05-31,231,65
2018-06-01,290,71
2018-06-02,143,22
2018-06-03,208,50
2018-06-04,314,98
2018-06-05,322,92
2018-06-06,349,104
2018-06-07,313,99
2018-06-08,253,77
2018-06-09,158,37
2018-06-10,195,60
2018-06-11,357,134
2018-06-12,356,121
2018-06-13,373,99
2018-06-14,332,97
2018-06-15,243,83
2018-06-16,155,42
2018-06-17,179,48
2018-06-18,352,142
2018-06-19,364,120
2018-06-20,354,105
2018-06-21,338,107
2018-06-22,250,88
2018-06-23,160,58
2018-06-24,200,54
2018-06-25,399,136
2018-06-26,399,140
2018-06-27,373,120
2018-06-28,325,105
2018-06-29,292,74
2018-06-30,155,23
2018-07-01,170,48
2018-07-02,305,107
2018-07-03,180,124
2018-07-04,333,101
2018-07-05,337,109
2018-07-06,260,84
2018-07-07,151,34
2018-07-08,202,38
2018-07-09,358,119
2018-07-10,380,131
2018-07-11,397,135
2018-07-12,329,102
2018-07-13,281,106
2018-07-14,171,39
2018-07-15,145,43
2018-07-16,303,113
2018-07-17,342,127
2018-07-18,280,110
2018-07-19,259,99
2018-07-20,242,75
2018-07-21,125,30
2018-07-22,192,46
2018-07-23,308,105
2018-07-24,339,107
2018-07-25,311,115
2018-07-26,312,106
2018-07-27,234,87
2018-07-28,126,35
2018-07-29,159,47
2018-07-30,336,96
2018-07-31,282,98
2018-08-01,284,79
2018-08-02,281,101
2018-08-03,241,66
2018-08-04,128,30
2018-08-05,137,51
2018-08-06,265,102
2018-08-07,477,128
2018-08-08,713,151
2018-08-09,749,242
2018-08-10,461,139
2018-08-11,178,21
2018-08-12,179,36
2018-08-13,296,91
2018-08-14,328,106
2018-08-15,309,109
2018-08-16,318,105
2018-08-17,322,94
2018-08-18,155,43
2018-08-19,168,34
2018-08-20,351,116
2018-08-21,371,92
2018-08-22,332,118
2018-08-23,288,85
2018-08-24,267,85
2018-08-25,138,30
2018-08-26,178,45
2018-08-27,332,113
2018-08-28,378,110
2018-08-29,348,111
2018-08-30,282,77
2018-08-31,241,67
2018-09-01,124,32
2018-09-02,181,39
2018-09-03,341,105
2018-09-04,425,134
2018-09-05,339,150
2018-09-06,322,117
2018-09-07,294,83
2018-09-08,168,37
2018-09-09,152,58
2018-09-10,325,169
2018-09-11,387,121
2018-09-12,316,90
2018-09-13,302,97
2018-09-14,257,71
2018-09-15,146,45
2018-09-16,161,49
2018-09-17,347,105
2018-09-18,357,119
2018-09-19,361,112
2018-09-20,322,102
2018-09-21,366,83
2018-09-22,162,43
2018-09-23,208,40
2018-09-24,357,87
2018-09-25,357,137
2018-09-26,355,110
2018-09-27,374,91
2018-09-28,282,65
2018-09-29,193,55
2018-09-30,235,62
2018-10-01,360,109
2018-10-02,339,100
2018-10-03,337,88
2018-10-04,421,107
2018-10-05,2514,93
2018-10-06,2651,37
2018-10-07,1894,56
2018-10-08,1361,118
2018-10-09,1265,107
2018-10-10,468,124
2018-10-11,1671,96
2018-10-12,776,89
2018-10-13,276,39
2018-10-14,1572,62
2018-10-15,591,103
2018-10-16,333,110
2018-10-17,334,116
2018-10-18,338,118
2018-10-19,302,71
2018-10-20,170,42
2018-10-21,174,41
2018-10-22,358,108
2018-10-23,367,126
2018-10-24,369,124
2018-10-25,339,102
